time,demand_users,blocked_users,time_blocking_rate
0,4,0,0.0
1,4,0,0.0
2,4,0,0.0
3,8,0,0.0
4,12,0,0.0
5,16,0,0.0
6,20,0,0.0
7,24,0,0.0
8,28,3,0.10714285714285714
9,32,7,0.21875
10,32,7,0.21875
11,35,7,0.2
12,39,7,0.1794871794871795
13,40,7,0.175
14,42,7,0.16666666666666666
15,44,7,0.1590909090909091
16,44,7,0.1590909090909091
17,46,7,0.15217391304347827
18,47,7,0.14893617021276595
19,44,5,0.11363636363636363
20,43,3,0.06976744186046512
21,45,1,0.022222222222222223
22,43,0,0.0
23,45,0,0.0
24,46,0,0.0
25,43,0,0.0
26,44,0,0.0
27,44,0,0.0
28,42,0,0.0
29,38,0,0.0
30,36,0,0.0
31,33,0,0.0
32,25,0,0.0
33,24,0,0.0
34,24,0,0.0
35,18,0,0.0
36,15,0,0.0
37,11,0,0.0
38,6,0,0.0
39,3,0,0.0
